id,type,description,book
三国演义_人物_于禁_0,人物,"实体名：于禁
实体描述：
- 字文则，泰山巨平人，引军投曹操，弓马熟娴，武艺出众，任点军司马。
- 曹操部将，于曹营寨边迎战刘备、张飞，被张飞战败，后献计袭吕布西寨。
- 曹操部将，为合后。
- 曹操部将，后为校尉。
- 曹操部将，平虏校尉。路剿青州兵劫掠，安抚乡民。被青州兵诬告造反，仍先立营寨拒敌，后击败张绣军。曹操赞其“虽古之名将，何以加兹”，赐金器封益寿亭侯。
- 曹操麾下将领，为先锋，后被张绣军所伤。
- 曹操的将领，屯兵河上。
- 曹操部将，被祢衡讥讽为可使负版筑墙，后参与埋伏。
- 曹操部将，随曹操送行关公。
- 曹操部下将领，与徐晃在后，参与劫乌巢，后与张辽、许褚、徐晃引军追赶袁绍。
- 曹操部将，在右队为第四队，后杀出截击袁绍，并追击刘备。
- 曹操部将。随张辽分路攻蹋顿。
- 曹操部将，为副将随夏侯惇南征，提醒防火攻未果。
- 曹操部将，奉命追杀刘琮母子，后回报曹操。
- 曹操部将，与毛玠一同被任命为水军都督。
- 曹操任命的水军都督之一，与毛玠共同守寨。
- 曹操部将，水军都督，与毛玠同请令。
- 曹操部将，出战马超，八九合败走。
- 曹操部将，从背后射马超，误中李堪。
- 曹操的征南将军，领七军救樊城，因嫉妒庞德成功而不肯动兵，移军罾口川，被水淹后投降关羽。
- 魏国将领，被关公擒获，后释放归曹。
- 被曹丕令董治陵事，见陵屋壁画自己拜伏乞命之状，气愤成病而死。",三国演义
三国演义_人物_于糜_0,人物,"实体名：于糜
实体描述：
- 刘繇部将，与孙策战不三合被生擒，挟死。",三国演义
三国演义_人物_于诠_0,人物,"实体名：于诠
实体描述：
- 东吴将领，愿领兵入寿春助守，后与魏兵交战，力战而死，被人赞颂。",三国演义
三国演义_人物_云英_0,人物,"实体名：云英
实体描述：
- 董承侍妾，与秦庆童私语被发现，受杖责。",三国演义
三国演义_人物_仇连_0,人物,"实体名：仇连
实体描述：
- 右都督，因建议移营被司马懿斩首示众。",三国演义
三国演义_人物_任夔_0,人物,"实体名：任夔
实体描述：
- 牙将，不听吴兰言，搦曹洪战，被斩。",三国演义
三国演义_人物_任峻_0,人物,"实体名：任峻
实体描述：
- 曹操部下，任典农中郎将，催督钱粮。",三国演义
三国演义_人物_伊尹_0,人物,"实体名：伊尹
实体描述：
- 商朝名相，耕于莘野，有匡扶宇宙之才，被诸葛亮举例说明不必治经典。
- 商朝贤相，被众官比作不及曹操。",三国演义
三国演义_人物_伊籍_0,人物,"实体名：伊籍
实体描述：
- 字机伯，荆州幕宾，山阳人。两次报信救刘备，劝刘备勿乘的卢。
- 字机伯，曾救刘备，受刘琦差遣送哀书报丧，劝刘备以吊丧为名取荆州。
- 刘备谋士，上厅献策求贤士，推荐马良兄弟。
- 文官，同守荆州。
- 刘备部下，属荆襄旧日文武。
- 刘备使者，前往东吴游说孙权起兵攻合淝。
- 关羽的参谋，一同征进。
- 奉命与马良同赴成都求救。
- 蜀汉官员，与马良同报荆州之失。",三国演义
三国演义_人物_伍习_0,人物,"实体名：伍习
实体描述：
- 将领，杀了郭汜，被封殄虏将军。",三国演义
三国演义_人物_伍孚_0,人物,"实体名：伍孚
实体描述：
- 越骑校尉，字德瑜，藏刀刺董卓未成，被剖剐而死。",三国演义
三国演义_人物_伍延_0,人物,"实体名：伍延
实体描述：
- 吴车骑将军，为都督迎敌，后弃城被擒斩。",三国演义
三国演义_人物_伍琼_0,人物,"实体名：伍琼
实体描述：
- 校尉，与周毖同劝董卓封袁绍。
- 城门校尉。与周毖同谏，被斩首。",三国演义
三国演义_人物_伏完_0,人物,"实体名：伏完
实体描述：
- 伏皇后之父，皇丈。向献帝建议用衣带诏密赐董承。
- 伏皇后之父，伏皇丈，见穆顺送书后回书欲结连孙、刘为外应，被曹操拿下灭三族。
- 伏皇后之父，因谋反被曹操所杀，死后魂魄索命。",三国演义
三国演义_人物_伏德_0,人物,"实体名：伏德
实体描述：
- 国舅，伏皇后之兄，挟白绢助帝后渡河。",三国演义
三国演义_人物_伏皇后_0,人物,"实体名：伏皇后
实体描述：
- 汉献帝的皇后，与献帝一同被李傕劫持，后渡河逃难。
- 汉献帝皇后。协助献帝将密诏缝于玉带内，与父伏完商议除操。
- 汉献帝皇后，与帝私论董承事，为董妃求情未果。
- 称伏后，献帝之妻，修书令穆顺送与父伏完图谋杀曹操，事泄后被华歆拖出，被曹操乱棒打死。
- 汉献帝皇后，被曹操所害，死后魂魄索命。",三国演义
三国演义_人物_伦直_0,人物,"实体名：伦直
实体描述：
- 公孙渊参军，谏阻反叛，与贾范同被斩于市。",三国演义
三国演义_人物_何仪_0,人物,"实体名：何仪
实体描述：
- 黄巾余党，劫掠州郡，被曹操击败，引数百骑奔走葛陂，被许褚活捉，后斩讫。",三国演义
三国演义_人物_何太后_0,人物,"实体名：何太后
实体描述：
- 何后，灵帝皇后，生皇子辩，鸩杀王美人，保十常侍，反对何进诛宦官。
- 少帝之母，被董卓逼迁永安宫，后遭李儒推下楼而死。",三国演义
三国演义_人物_何平_0,人物,"实体名：何平
实体描述：
- 蜀汉先锋，奉杨仪令引兵三千先行到南谷之后，骂魏延反贼，诈败而走，引魏延追赶。",三国演义
三国演义_人物_何晏_0,人物,"实体名：何晏
实体描述：
- 字平叔，曹爽门客，以浮华相尚，劝曹爽防司马懿。
- 曹爽心腹，与邓飏、丁谧、毕轨、李胜等同谋篡逆，被司马懿捉拿问斩。",三国演义
三国演义_人物_何曼_0,人物,"实体名：何曼
实体描述：
- 又称截天夜叉，黄巾将，步行出战，与曹洪交战四五十合，被曹洪用拖刀背砍计杀死。",三国演义
三国演义_人物_何曾_0,人物,"实体名：何曾
实体描述：
- 魏国司徒，后为晋丞相，劝立司马炎为世子。",三国演义
三国演义_人物_何植_0,人物,"实体名：何植
实体描述：
- 吴司徒，参与退兵之策。",三国演义
三国演义_人物_何氏_0,人物,"实体名：何氏
实体描述：
- 孙皓之母，被尊为太后。",三国演义
三国演义_人物_何苗_0,人物,"实体名：何苗
实体描述：
- 何进之弟，受十常侍贿赂，入告何太后劝阻杀宦官。
- 何进之弟，被吴匡等认为同谋害兄，砍为齑粉。",三国演义
三国演义_人物_何进_0,人物,"实体名：何进
实体描述：
- 大将军，奉帝召调兵擒马元义。
- 字遂高，大将军，何国舅。起身屠家，因妹为皇后得权重任，欲诛宦官犹豫不决，召外兵。
- 东汉大将军，召外兵入京欲诛宦官，反被十常侍诱杀于嘉德殿。
- 东汉大将军，陈琳曾谏其不听，后遭董卓之乱。
- 古风中提及，无谋中贵乱。",三国演义
三国演义_人物_何顒_0,人物,"实体名：何顒
实体描述：
- 南阳人，见曹操言汉室将亡安天下者必此人也。
- 大臣，随何进入宫扶立太子辩即皇帝位。",三国演义
三国演义_人物_侯成_0,人物,"实体名：侯成
实体描述：
- 吕布帐下健将，与魏续等同。
- 吕布部将，出战被典韦击败，退入城中，后巡海打粮未回。
- 吕布麾下将领，引骑接应高顺。
- 吕布部将。本篇中因追回被盗马匹酿酒送吕布而被责打，后与宋宪、魏续合谋，盗赤兔马献曹操，献门擒吕布。",三国演义
三国演义_人物_侯览_0,人物,"实体名：侯览
实体描述：
- 十常侍之一。
- 十常侍之一，劫持太后等。",三国演义
三国演义_人物_侯选_0,人物,"实体名：侯选
实体描述：
- 韩遂部下八部将之一，随韩遂起兵。
- 韩遂部将，劝马超求和。",三国演义
三国演义_人物_俄何烧戈_0,人物,"实体名：俄何烧戈
实体描述：
- 羌将，为先锋引兵南安，后受陈泰诈降计劫魏寨，跌入陷坑，自刎而死。",三国演义
三国演义_人物_俞涉_0,人物,"实体名：俞涉
实体描述：
- 袁术部下骁将。出战华雄，战不三合被斩。",三国演义
三国演义_人物_傅佥_0,人物,"实体名：傅佥
实体描述：
- 蜀将，姜维爱将，有胆勇，随姜维伐魏，活捉王真，打死李鹏。
- 蜀汉右军，随姜维伐魏。
- 蜀将，奉命引二千魏兵随征听用，后扮作运粮魏兵，在山谷中截击邓艾。
- 蜀将，守阳安关，与蒋舒共守。下关战魏兵，被围后自刎而死。",三国演义
三国演义_人物_傅嘏_0,人物,"实体名：傅嘏
实体描述：
- 魏国尚书，谏司马师不可伐吴，主张各守边疆。
- 魏尚书，建议分兵取乐嘉、项城、寿春。",三国演义
三国演义_人物_傅士仁_0,人物,"实体名：傅士仁
实体描述：
- 关羽的先锋，因饮酒失火烧毁军器粮草，被关羽杖责后罚守公安。
- 公安守将，因惧关公怨恨而降东吴，后招降糜芳。
- 东吴将领，刘备切齿之仇人之一，曾参与陷害关羽。
- 原蜀将，后降吴。与糜芳刺杀马忠投蜀，被刘备令关兴剐杀祭关公。",三国演义
三国演义_人物_傅婴_0,人物,"实体名：傅婴
实体描述：
- 孙翊心腹旧将，与孙高一起杀死妫览、戴员。",三国演义
三国演义_人物_傅巽_0,人物,"实体名：傅巽
实体描述：
- 字公悌，东曹掾，劝刘琮献荆州与曹操。
- 荆州官员，归曹后被封为关内侯。",三国演义
三国演义_人物_傅干_0,人物,"实体名：傅干
实体描述：
- 字彦材，参军，上书谏曹操先修文德，按甲寝兵，待时而动，曹操览之罢南征。",三国演义
三国演义_人物_傅彤_0,人物,"实体名：傅彤
实体描述：
- 中军护尉。
- 蜀将，守江南第四营，与淳于丹交战，后断后死战，骂吴狗吐血而亡。
- 蜀汉将领，随刘备伐吴，在猇亭之战中殁于王事。",三国演义
三国演义_人物_兀突骨_0,人物,"实体名：兀突骨
实体描述：
- 乌戈国国主，身长丈二，不食五谷，以生蛇恶兽为饭，身有鳞甲，刀箭不能侵。率藤甲军助孟获，被诸葛亮火烧盘蛇谷而死。",三国演义
三国演义_人物_光武_0,人物,"实体名：光武
实体描述：
- 汉光武帝刘秀。得传国玺于宜阳，传位至今。",三国演义
三国演义_人物_光武帝_0,人物,"实体名：光武帝
实体描述：
- 汉朝中兴之主。",三国演义
三国演义_人物_党均_0,人物,"实体名：党均
实体描述：
- 襄阳人，为邓艾出使成都结连黄皓，布散流言陷害姜维。
- 邓艾部下，回到祁山寨报知姜维退兵之事，后又入洛阳报知司马昭。",三国演义
三国演义_人物_全后_0,人物,"实体名：全后
实体描述：
- 孙亮皇后，全尚之女，孙亮事败时被指误事。",三国演义
三国演义_人物_全尚_0,人物,"实体名：全尚
实体描述：
- 全纪之父，得知杀孙綝计划后告知其妻，导致泄密，被孙綝斩杀。",三国演义
三国演义_人物_全怿_0,人物,"实体名：全怿
实体描述：
- 东吴大将，与全端引兵入寿春助诸葛诞，后得子全祎书信，开门降魏。",三国演义
三国演义_人物_全琮_0,人物,"实体名：全琮
实体描述：
- 东吴右都督，字子璜。与朱桓分兵抄魏寨后，大破薛乔。
- 东吴将领，引兵数万屯于巴丘界口，后主惊疑其有异心。",三国演义
三国演义_人物_全祎_0,人物,"实体名：全祎
实体描述：
- 全端子，引兵欲入寿春，见魏兵势大而降，修家书劝父叔降魏。",三国演义
三国演义_人物_全端_0,人物,"实体名：全端
实体描述：
- 吴国左城守将，守东兴左城。
- 东吴大将，与全怿同降魏。
- 东吴将领，降魏，其家眷被孙綝斩杀。",三国演义
三国演义_人物_全纪_0,人物,"实体名：全纪
实体描述：
- 黄门侍郎，国舅，奉孙亮之命谋诛孙綝，泄密被杀。",三国演义
三国演义_人物_公孙修_0,人物,"实体名：公孙修
实体描述：
- 公孙渊之子，与父一同突围被擒斩。",三国演义
三国演义_人物_公孙度_0,人物,"实体名：公孙度
实体描述：
- 辽东公孙渊之祖父，曾为辽东太守。",三国演义
三国演义_人物_公孙康_0,人物,"实体名：公孙康
实体描述：
- 辽东太守，襄平人，武威将军公孙度之子。杀袁熙、袁尚，送首级与曹操，被封襄平侯、左将军。
- 公孙渊之父，曾斩袁尚首级献曹操，封襄平侯。",三国演义
三国演义_人物_公孙恭_0,人物,"实体名：公孙恭
实体描述：
- 公孙康之弟，建议杀二袁献头与曹公。
- 公孙康之弟，继职辽东，后被子公孙渊夺位。",三国演义
三国演义_人物_公孙晃_0,人物,"实体名：公孙晃
实体描述：
- 公孙康长子，公孙渊之兄。",三国演义
三国演义_人物_公孙渊_0,人物,"实体名：公孙渊
实体描述：
- 辽东地方势力，自号为燕王，改元绍汉元年，建宫殿立官职，兴兵入寇北方。
- 辽东公孙度之孙，公孙康之子，文武兼备，性刚好斗，自号为燕王，改元绍汉元年，后兵败被司马懿斩杀。",三国演义
三国演义_人物_公孙瓒_0,人物,"实体名：公孙瓒
实体描述：
- 刘备之友。
- 北平太守。统领精兵一万五千，路经平原县遇见刘备。后引刘备、关羽、张飞同往讨董。在虎牢关亲战吕布，败走，被张飞所救。
- 北平太守，与袁绍争夺冀州，在磐河交战，被文丑击败，得赵云相救，后与刘备、赵云结好，最终讲和班师，表荐刘备为平原相。
- 刘备向其借兵，瓒借马步军二千，又许借赵云。
- 刘备故交。被袁绍破于易京，自缢而死。
- 袁绍的对手，曹操曾北征公孙瓒。被袁绍击败。
- 原北平太守，因不听人言兵败自焚，赵云曾在其麾下。
- 古风中提及，各逞雄才占一方。",三国演义
三国演义_人物_公孙越_0,人物,"实体名：公孙越
实体描述：
- 公孙瓒之弟，被袁绍遣人冒充董卓家将射死。",三国演义
三国演义_人物_共工氏_0,人物,"实体名：共工氏
实体描述：
- 神话人物，秦宓引其战败头触不周山导致天倾西北地陷东南。",三国演义
三国演义_人物_关兴_0,人物,"实体名：关兴
实体描述：
- 关羽的次子，奉命赍立功文书去成都见汉中王。
- 关羽之子，闻父死讯号恸而来。
- 关羽之子，字安国。白袍银铠，来见刘备哭诉。与张苞争先锋，后结为兄弟。作战英勇，斩杀李异，生擒谭雄。
- 关羽之子，随刘备伐吴，斩杀仇人潘璋，夺回青龙偃月刀，与张苞一同救出黄忠。
- 蜀将，关羽之子。奉命出巡，后护刘备杀下山来，被乱箭射伤。
- 蜀汉将领，关羽之子。诸葛亮密调其引兵三万屯于紧要之处，为各路救应。
- 关羽之子，蜀汉将领，被留作救应。
- 蜀汉帐前左护卫使，龙骧将军。
- 蜀将，关羽之子，持偃月青龙刀，奉诸葛亮之命接应赵云，杀魏将董禧，后随崔谅入南安城斩杨陵。
- 关兴，蜀汉将领，保护孔明杀出重围，后截住姜维去路。
- 蜀将，关羽之子。随张苞、马岱迎战羌兵，被围困后遇父亲关羽显圣救出。后与张苞等设伏，斩杀越吉。
- 蜀汉将领，张苞之兄（实则关兴为关羽之子）。受命与张苞各引三千精兵伏于武功山小路，鼓噪为疑兵。
- 蜀汉将领，关羽之子。奉命接应赵云、邓芝，后与张苞为前后救应使。
- 蜀汉将领，受孔明密计伏于魏寨左右，袭取魏军营寨。
- 蜀国将领。孔明左方，与张苞前后夹攻魏兵，后受孔明之命伏于山谷，见红旗引兵杀出。
- 蜀汉将领，为先锋，受密计扮魏兵劫寨，后从西南杀出夹攻。
- 蜀汉将领，结束做天蓬模样，手执七星皂幡步行车前，后与魏延轮流交战引诱张郃。
- 蜀汉大将，病亡，孔明闻讯放声大哭，叹少一员大将。",三国演义
三国演义_人物_关宁_0,人物,"实体名：关宁
实体描述：
- 关定长子，学文。",三国演义
三国演义_人物_关定_0,人物,"实体名：关定
实体描述：
- 关家庄老翁，姓关名定，久仰关公大名，款待关公，并让次子关平跟随关公。",三国演义
三国演义_人物_关平_0,人物,"实体名：关平
实体描述：
- 关定次子，十八岁，学武。被刘备提议拜关公为父，随关公一同起身。
- 关羽义子，随关羽引军救刘备。
- 关羽义子，受孔明将令预备引火之物。
- 关羽义子，随关羽往华容道埋伏。
- 关羽之子。与刘封领军截住巴丘上流水路。
- 关羽之子，随刘备西行，在中军。
- 关羽之子，随刘备出战，捉拿杨怀、高沛。
- 关羽之子，奉命往荆州请诸葛亮，后辅佐云长守荆州。
- 关羽之子，奉父命送书信给刘备，呈报关羽欲入川比试之意。
- 关羽之子，劝父亲顾及军师面子，后选快船十只藏水军五百于江上等候，见红旗招引即驾船过江。
- 关羽的义子，副将，随父征战，曾与庞德战三十合不分胜负，后斩杀翟元。
- 关公之子，随父征战，曾救关公归寨，后与廖化一同突围。
- 关羽义子，随父突围，得知赵累死讯后为父断后，被潘璋、朱然围困，力尽被执，与父同遇害。",三国演义
三国演义_人物_关彝_0,人物,"实体名：关彝
实体描述：
- 汉寿亭侯，被魏兵所杀。",三国演义
三国演义_人物_关索_0,人物,"实体名：关索
实体描述：
- 关羽第三子，逃难后投奔，为前部先锋，参与诱敌。
- 蜀将，守一寨，后擒诸洞酋长。
- 蜀将，负责护孔明车驾。",三国演义
三国演义_人物_关纯_0,人物,"实体名：关纯
实体描述：
- 韩馥别驾，奉韩馥之命请袁绍，后与耿武伏击袁绍，被文丑砍死。",三国演义
