head_id,tail_id,type,description,source_relationship_type,book
西游记_人物_孙悟空_0,西游记_物品_九叶灵芝草_0,持有,[{'63': '孙悟空变化假驸马从万圣宫主处骗取九叶灵芝草，后用于扫塔。'}],人物与物品,西游记
西游记_地点_玄英洞_0,西游记_地点_青龙山_0,隶属,[{'92': '玄英洞位于青龙山。'}],地点与地点,西游记
西游记_人物_红孩儿_0,西游记_人物_雾里云_0,上下级,[{'41': '雾里云是红孩儿手下的六健将之一，听命于红孩儿。'}],人物与人物,西游记
西游记_人物_寇梁_0,西游记_人物_老妪_2,亲属,[{'96': '寇梁是老妪的儿子。'}],人物与人物,西游记
西游记_人物_比丘国王_0,西游记_人物_美后_0,亲密,[{'78': '国王贪恋美后之色，宠幸在宫，日夜贪欢。'}],人物与人物,西游记
西游记_人物_玉皇大帝_0,西游记_人物_邓天君_0,上下级,[{'45': '玉帝掷下旨意令邓天君等助雨，邓天君奉旨前来'}],人物与人物,西游记
西游记_人物_虎先锋_0,西游记_技能_金蝉脱壳计_0,掌握,[{'20': '虎先锋使用金蝉脱壳计脱身'}],人物与技能,西游记
西游记_人物_孙悟空_0,西游记_组织_九曜星_0,对抗,"[{'5': '大圣打退九曜星官的进攻，使其筋疲力软败阵而走。'}, {'7': '大圣大乱天宫，打得九曜星闭门闭户'}]",人物与组织,西游记
西游记_人物_僧官_0,西游记_人物_孙悟空_0,对立,[{'36': '孙行者威吓僧官，打碎石狮子，迫使僧官安排迎接唐僧。'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_技能_真火_0,掌握,[{'81': '孙悟空吹出真火点燃琉璃灯。'}],人物与技能,西游记
西游记_地点_救生寺_0,西游记_地点_陈家庄_0,隶属,[{'99': '陈家庄百姓为感谢唐僧救命之恩修建救生寺，寺位于庄内。'}],地点与地点,西游记
西游记_地点_东海_0,西游记_组织_东海龙宫_0,驻扎,[{'87': '东海龙宫位于东海之中。'}],组织与地点,西游记
西游记_地点_齐天大圣府_0,西游记_组织_安静司_0,驻扎,[{'4': '齐天大圣府内设安静司，有仙吏在府内任职。'}],组织与地点,西游记
西游记_人物_羊力大仙_0,西游记_人物_鹿力大仙_0,合作,"[{'45': '鹿力大仙与羊力大仙同为车迟国国师，一同兴道灭僧、与唐僧师徒斗法'}, {'46': '鹿力与羊力为师兄弟，共同对付唐僧师徒'}]",人物与人物,西游记
西游记_人物_如来佛祖_0,西游记_物品_三藏真经_0,持有,[{'8': '如来有三藏真经共三十五部'}],人物与物品,西游记
西游记_地点_东胜神洲_0,西游记_地点_水帘洞_0,隶属,[{'20': '花果山水帘洞位于东胜神洲傲来国海东'}],地点与地点,西游记
西游记_人物_泾河龙王_0,西游记_人物_鲥军师_0,上下级,[{'9': '鲥军师是泾河水府的军师，向龙王献计改时辰克点数以赢赌局。'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_人物_灵吉菩萨_0,合作,"[{'21': '孙悟空去小须弥山请灵吉菩萨降妖，灵吉菩萨应允并同往黄风山。'}, {'59': '灵吉菩萨将定风丹赠予孙悟空，助其对抗日芭蕉扇。'}]",人物与人物,西游记
西游记_人物_七个蜘蛛精_0,西游记_人物_班_0,亲属,[{'72': '班是妖精结拜的干儿子，愿拜为母。'}],人物与人物,西游记
西游记_人物_九尾狐狸_0,西游记_人物_金角大王_0,亲属,"[{'34': ""九尾狐狸是老魔的母亲，老魔称其为'母亲'并派小妖去请她带幌金绳来吃唐僧肉。""}]",人物与人物,西游记
西游记_人物_孙悟空_0,西游记_人物_护国天王_2,合作,"[{'87': '护国天王为孙悟空指路，告知三事并指引去九天应元府。'}, {'95': '护国天王率四大元帅阻拦玉兔逃跑，协助孙悟空擒妖'}]",人物与人物,西游记
西游记_人物_全真_0,西游记_人物_孙悟空_0,对立,[{'38': '孙行者设计要拿假乌鸡国王（全真），计划先捞取真国王尸首作为证据'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_人物_巽二郎_0,上下级,[{'45': '孙大圣命令巽二郎收风，巽二郎服从'}],人物与人物,西游记
西游记_人物_小张太子_0,西游记_地点_蠙城_0,居住,[{'66': '小张太子静乐蠙城内'}],人物与地点,西游记
西游记_人物_不坏尊王永住金刚_0,西游记_地点_昆仑山金霞岭_0,居住,[{'61': '永住金刚修行于昆仑山金霞岭'}],人物与地点,西游记
西游记_人物_孙悟空_0,西游记_人物_山神_3,上下级,[{'38': '孙行者捻诀念真言拘得山神在半空中施礼听令，山神奉命收集獐鹿兔等野物'}],人物与人物,西游记
西游记_人物_白龙马_0,西游记_地点_西海_0,出身,[{'100': '白龙马原是西海龙王之子'}],人物与地点,西游记
西游记_人物_相良_0,西游记_地点_开封府_0,居住,[{'11': '相良在河南开封府居住并贩卖乌盆瓦器。'}],人物与地点,西游记
西游记_地点_宝华山_0,西游记_地点_鸡鸣关_0,隶属,[{'93': '百脚山下有一座鸡鸣关，行人须等鸡鸣时才能通过'}],地点与地点,西游记
西游记_地点_幽冥_0,西游记_地点_幽冥关隘_0,隶属,[{'58': '幽冥关隘是幽冥界的地关。'}],地点与地点,西游记
西游记_人物_孙悟空_0,西游记_技能_筋斗云_0,掌握,"[{'2': '孙悟空从菩提祖师学成筋斗云，一筋斗十万八千里。'}, {'3': '孙悟空有筋斗云神通，可瞬息过二百里水面。'}, {'4': '悟空筋斗云十分快疾，把金星撇在脑后先至南天门。'}, {'5': '大圣的筋斗云极快，以此诓骗赤脚大仙去通明殿演礼。'}, {'7': '大圣自称‘会驾筋斗云，一纵十万八千里’'}, {'8': '孙悟空会驾筋斗云，一去十万八千里'}, {'14': '孙悟空自称会驾筋斗云，一个筋斗十万八千里'}, {'16': '孙行者能一筋斗跳上南天门'}, {'21': '孙悟空纵筋斗云前往小须弥山请灵吉菩萨。'}, {'22': '老孙的觔斗云，一纵有十万八千里。'}, {'26': '孙悟空急纵觔斗云离开五庄观前往东洋大海求方。'}, {'27': '行者多次纵筋斗云往返，如从南山摘桃回来、被逐后径回花果山。'}, {'35': '孙大圣精通筋斗云，一个筋斗十万八千里，用于逃遁追击。'}, {'37': '孙悟空一筋斗跳在空中观察乌鸡国城池'}, {'39': '孙悟空一筋斗云撞入南天门去兜率宫求丹。'}, {'41': '孙大圣能驾筋斗云，但因受伤腰膝疼痛难以驾起。'}, {'42': '孙悟空驾筋斗云，半个时辰从号山到南海'}, {'47': '齐天大圣纵筋斗云跳在空中观看通天河的宽阔。'}, {'51': '孙悟空多次驾筋斗云往返于天庭与凡间，快速飞行。'}, {'52': '孙悟空纵筋斗云往返灵山、天庭等处。'}, {'53': '孙悟空驾筋斗云去解阳山取水。'}, {'55': '孙悟空驾筋斗云去东天门请昴日星官。'}, {'56': '孙大圣会筋斗云，一个筋斗十万八千里，本回末驾筋斗云离去。'}, {'57': '孙悟空多次驾筋斗云往来于各地'}, {'58': '行者筋斗云快，一个筋斗十万八千里。'}, {'59': '孙悟空能驾筋斗云，一个筋斗十万八千里。'}, {'61': '孙大圣驾筋斗云腾空战斗'}, {'65': '孙悟空使用筋斗云跳出楼窗外或跳上九霄逃离。'}, {'66': '孙悟空驾筋斗云一个筋斗十万八千里，往返各处'}, {'70': '孙悟空自述‘本来筋斗如神助，一打十万八千路’'}, {'73': '孙悟空纵筋斗云从黄花观直上紫云山，千里之遥瞬息即至。'}, {'74': '孙悟空唿哨一声，纵筋斗云跳上高峰。'}, {'77': '孙悟空擅长驾筋斗云，一个筋斗十万八千里'}, {'79': '孙悟空翻筋斗跳在空中，追赶与国丈战斗。'}, {'80': '孙大圣会筋斗云，本回中纵筋斗到半空查看林中情况。'}, {'81': '孙悟空能一个筋斗云送到长安。'}, {'87': '孙悟空精通筋斗云，一个筋斗十万八千里。'}, {'88': '孙悟空纵筋斗云，在半空演示武艺。'}, {'90': '孙大圣驾筋斗云，一个筋斗十万八千里'}, {'92': '孙悟空驾筋斗云上天求救。'}, {'95': '孙悟空纵筋斗云追击玉兔至西天门和毛颖山'}, {'97': '孙悟空驾筋斗云往来幽冥地界'}]",人物与技能,西游记
西游记_人物_托塔李天王_0,西游记_组织_天庭_0,归属,"[{'4': '托塔李天王是天庭元帅，奉旨讨伐孙悟空。'}, {'51': '托塔李天王是天庭大将，奉玉帝旨意下界擒魔。'}, {'52': '李天王是天庭大将，受玉帝调遣。'}, {'61': '托塔李天王奉玉帝旨意前来助力'}]",人物与组织,西游记
西游记_人物_明月_0,西游记_人物_镇元子_0,上下级,"[{'24': '镇元子是明月之师，明月是徒弟'}, {'25': '镇元仙是明月的师父，明月是其弟子。'}]",人物与人物,西游记
西游记_人物_唐三藏_0,西游记_人物_白龙马_0,上下级,"[{'15': '唐僧骑乘玉龙三太子化成的龙马，龙马成为其西行坐骑。'}, {'30': '小白龙是唐僧的脚力，称唐僧为师父，主动去救师父。'}, {'31': '白龙马是唐僧的坐骑，受唐僧驱使。'}, {'56': '龙马是唐三藏的坐骑，本回中唐僧骑着它赶路。'}, {'84': '白马是唐三藏的坐骑，一路驮行'}, {'100': '白龙马作为唐僧脚力，驮负圣僧'}]",人物与人物,西游记
西游记_人物_乌鸡国太子_0,西游记_人物_正宫娘娘_0,亲属,"[{'37': '正宫皇后是乌鸡国太子的母亲'}, {'38': '太子跪于锦香亭下称娘娘为母亲，娘娘抱太子流泪，确认母子关系'}]",人物与人物,西游记
西游记_人物_银角大王_0,西游记_物品_羊脂玉净瓶_0,持有,[{'34': '二魔持有净瓶，从孙行者身上搜出后又被他偷走。'}],人物与物品,西游记
西游记_人物_灵感大王_0,西游记_地点_水府_0,居住,[{'48': '灵感大王居于通天河底的水府宫殿中，原文称其回归水内、坐在宫中。'}],人物与地点,西游记
西游记_人物_百花羞_0,西游记_地点_碗子山波月洞_0,居住,"[{'29': '百花羞被黄袍怪摄至波月洞，在此生活十三年'}, {'30': '三公主被老妖掳到波月庄做压寨夫人。'}]",人物与地点,西游记
西游记_人物_唐三藏_0,西游记_人物_观世音菩萨_0,亲密,"[{'16': ""三藏感念观音菩萨恩德，称'弟子屡感菩萨圣恩'""}]",人物与人物,西游记
西游记_人物_孙悟空_0,西游记_技能_分身法_0,掌握,"[{'2': '孙悟空使用身外身法，拔毫毛变出小猴。'}, {'3': '孙悟空使分身法变出千百小猴搬运兵器。'}, {'5': '大圣拔毫毛嚼碎喷出，变出千百个大圣，打退哪吒太子和四大天王。'}, {'6': '齐天大圣用分身法战退十万天兵。'}, {'21': '孙悟空拔毫毛嚼碎变出百十个分身围打黄风大圣。'}, {'27': '行者拔脑后毫毛变出三个行者，连同本身共四个向师父下拜。'}, {'35': '孙大圣使用身外身法，拔毫毛变出多个行者打退群妖。'}, {'51': '孙悟空拔毫毛变出三五十个小猴围攻兕怪。'}, {'73': '孙悟空拔毫毛变出七十个小行者，用分身法搅断丝绳。'}, {'75': '孙大圣被砍成两半后变作两个身子，使用分身法。'}, {'84': '孙悟空施展大分身普会神法拔毫毛变小行者和瞌睡虫'}, {'86': '孙行者使用分身法变出多个自身攻打小妖'}, {'90': '孙大圣能拔毫毛变出千万分身'}]",人物与技能,西游记
西游记_人物_唐三藏_0,西游记_物品_鞍辔_0,持有,[{'15': '唐僧接受落伽山山神土地赠送的鞍辔，用于龙马。'}],人物与物品,西游记
西游记_人物_殷开山_0,西游记_人物_唐三藏_0,亲属,"[{'11': '殷开山是陈玄奘的外公，当朝一路总管。'}, {'101': '殷开山是玄奘的外祖父，玄奘到相府认亲。'}]",人物与人物,西游记
西游记_人物_灵感大王_0,西游记_人物_斑衣鳜婆_0,上下级,[{'49': '鳜婆是灵感大王的属下，坐在侧手商议吃唐僧，识得孙悟空来历。'}],人物与人物,西游记
西游记_人物_银角大王_0,西游记_技能_泰山下顶之法_0,掌握,[{'33': '二魔将泰山遣在空中劈头压住孙悟空，使泰山下顶之法压得行者力软筋麻。'}],人物与技能,西游记
西游记_人物_猪八戒_0,西游记_组织_龙华会_0,归属,[{'76': '猪八戒自称是龙华会上的一个人。'}],人物与组织,西游记
西游记_地点_宝华山_0,西游记_地点_布金禅寺_0,隶属,[{'95': '国王改百脚山为宝华山，并敕建宝华山给孤布金寺'}],地点与地点,西游记
西游记_人物_斗木獬_0,西游记_人物_玉皇大帝_0,上下级,[{'92': '玉帝下旨派斗木獬等四木禽星下界降妖。'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_人物_白鼋_0,合作,[{'49': '老鼋为报恩，自愿驮唐僧师徒过通天河，答应送过河。'}],人物与人物,西游记
西游记_人物_九头驸马_0,西游记_人物_猪八戒_0,对立,[{'63': '猪八戒被九头驸马擒入龙宫，后得救并与之交战，且战且退引出水面。'}],人物与人物,西游记
西游记_人物_如来佛祖_0,西游记_技能_紧箍儿咒_0,传授,[{'39': '如来将紧箍儿咒传授给观世音菩萨。'}],人物与技能,西游记
西游记_人物_二郎显圣真君_0,西游记_人物_观世音菩萨_0,合作,[{'7': '二圣向如来汇报：后观世音举二郎真君同义兄弟追杀悟空'}],人物与人物,西游记
西游记_人物_二郎显圣真君_0,西游记_物品_三尖两刃枪_0,持有,[{'6': '二郎神手执三尖两刃枪与齐天大圣赌斗。'}],人物与物品,西游记
西游记_人物_唐三藏_0,西游记_人物_陈澄_0,亲密,[{'99': '陈澄拜请唐僧至庄，感谢救子之恩。'}],人物与人物,西游记
西游记_人物_比丘国王_0,西游记_组织_羽林卫_0,领导,[{'78': '国王差遣羽林卫围住馆驿捉拿唐僧。'}],人物与组织,西游记
西游记_地点_三十三天_0,西游记_地点_离恨天_0,隶属,[{'39': '离恨天位于三十三天之上，属于三十三天区域。'}],地点与地点,西游记
西游记_人物_孙悟空_0,西游记_人物_身本忧_0,对立,[{'14': '孙悟空打死剪径毛贼身本忧'}],人物与人物,西游记
西游记_人物_七个蜘蛛精_0,西游记_人物_百眼魔君_0,合作,[{'73': '七个蜘蛛精与百眼魔君同堂学艺，称其为师兄，求其帮忙报仇。'}],人物与人物,西游记
西游记_人物_南山大王_0,西游记_人物_铁背苍狼怪_0,上下级,[{'86': '铁背苍狼怪是南山大王的先锋，出谋划策设计分瓣梅花计'}],人物与人物,西游记
西游记_人物_玉兔_0,西游记_地点_广寒宫_0,居住,[{'95': '玉兔原是广寒宫中捣玄霜仙药的玉兔，偷出下界'}],人物与地点,西游记
西游记_人物_孙悟空_0,西游记_人物_白骨夫人_0,对立,[{'27': '行者识破白骨精三次变化，挥棒将其打死。'}],人物与人物,西游记
西游记_人物_燃灯古佛_0,西游记_人物_白雄尊者_0,上下级,[{'98': '燃灯古佛在宝阁上听闻阿傩、伽叶传了无字经，吩咐白雄尊者施展神威追上唐僧夺回无字经，让他回来换有字真经。'}],人物与人物,西游记
西游记_人物_沙悟净_0,西游记_组织_天庭_0,归属,"[{'22': '原为卷帘大将，南天门里为尊，灵霄殿前称上，后因罪遭贬。'}, {'94': '沙悟净原为卷帘大将，官授卷帘大将，归属天庭'}]",人物与组织,西游记
西游记_人物_孙悟空_0,西游记_人物_辟尘大王_0,对立,"[{'91': '孙悟空为救师父与辟尘大王斗战。'}, {'92': '孙悟空与辟尘大王战斗，后被摩昂等擒拿。'}]",人物与人物,西游记
西游记_人物_五方揭谛_0,西游记_人物_沙悟净_0,合作,[{'29': '五方揭谛在空中助战八戒沙僧'}],人物与人物,西游记
西游记_人物_东海龙王敖广_0,西游记_人物_敖钦_0,亲属,[{'3': '敖钦是敖广的弟弟，南海龙王。'}],人物与人物,西游记
西游记_人物_寇梁_0,西游记_人物_寇洪_0,亲属,"[{'96': '寇梁是寇洪的长子。'}, {'97': '寇洪是寇梁的父亲，寇梁为长子'}]",人物与人物,西游记
西游记_人物_陈光蕊_0,西游记_地点_海州_0,出身,[{'101': '陈光蕊是海州弘农县人。'}],人物与地点,西游记
西游记_人物_孙悟空_0,西游记_组织_蟠桃园_0,领导,[{'5': '玉帝命大圣权管蟠桃园，大圣入园查勘并偷吃蟠桃。'}],人物与组织,西游记
西游记_地点_南天门_0,西游记_地点_灵霄宝殿_0,连通,"[{'4': '从南天门经天宫内路径可到达灵霄宝殿，太白金星引悟空入内。'}, {'51': '孙悟空经南天门入灵霄殿，南天门是进入天庭的正门。'}]",地点与地点,西游记
西游记_人物_木叉行者_0,西游记_人物_观世音菩萨_0,上下级,"[{'12': '木叉是观世音菩萨的弟子，陪同菩萨在长安售卖袈裟锡杖'}, {'22': '木叉奉菩萨之命，携葫芦助渡河。'}]",人物与人物,西游记
西游记_人物_土地_7,西游记_组织_蟠桃园_0,归属,[{'5': '土地是蟠桃园的土地神，负责看守园门，引大圣查勘桃园。'}],人物与组织,西游记
西游记_人物_哪吒三太子_0,西游记_物品_缚妖索_0,持有,"[{'51': '哪吒太子持缚妖索与兕怪交战，后被圈子套去。'}, {'61': '哪吒用缚妖索穿牛魔王鼻孔牵走'}]",人物与物品,西游记
西游记_地点_会同馆_0,西游记_组织_朱紫国_0,驻扎,[{'68': '会同馆是朱紫国中的衙门，唐僧师徒在此歇息。'}],组织与地点,西游记
西游记_人物_猪八戒_0,西游记_物品_担子_0,持有,[{'100': '猪八戒挑着经担'}],人物与物品,西游记
西游记_人物_赵寡妇_0,西游记_物品_大柜_0,持有,[{'84': '赵寡妇家有一张大柜用于客人住宿'}],人物与物品,西游记
西游记_人物_孙悟空_0,西游记_地点_暴纱亭_0,居住,[{'89': '孙行者随唐僧在玉华州王府暴纱亭居住。'}],人物与地点,西游记
西游记_人物_孙悟空_0,西游记_物品_丹_0,争夺,[{'19': '孙悟空大闹天宫时偷吃仙丹。'}],人物与物品,西游记
西游记_人物_独角鬼王_0,西游记_人物_孙悟空_0,上下级,[{'5': '大圣命独角鬼王领帅七十二洞妖王出阵迎战九曜星。'}],人物与人物,西游记
西游记_人物_二郎显圣真君_0,西游记_组织_草头神_0,领导,[{'6': '二郎神统率帐前一千二百草头神出战花果山。'}],人物与组织,西游记
西游记_人物_刘全_0,西游记_人物_李翠莲_0,亲属,[{'11': '刘全与李翠莲是夫妻，因李翠莲拔金钗斋僧被骂而自缢，后借尸还魂团聚。'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_技能_小坐跌法_0,掌握,[{'81': '孙悟空使小坐跌法将妖精掀翻。'}],人物与技能,西游记
西游记_人物_九头驸马_0,西游记_人物_二郎显圣真君_0,对立,[{'63': '二郎神用金弓银弹打九头虫，并放细犬咬下九头虫一颗头，致其负伤逃生。'}],人物与人物,西游记
西游记_人物_观世音菩萨_0,西游记_技能_大乘佛法三藏_0,掌握,[{'12': '菩萨宣称自己拥有大乘佛法三藏，能超亡者升天、度难人脱苦'}],人物与技能,西游记
西游记_人物_唐三藏_0,西游记_人物_熊罴怪_0,对立,[{'16': '黑大王盗走三藏的锦襕袈裟，与三藏为敌对关系'}],人物与人物,西游记
西游记_人物_刘洪_0,西游记_人物_家僮_0,对立,[{'101': '刘洪杀死陈光蕊的家僮。'}],人物与人物,西游记
西游记_人物_唐三藏_0,西游记_组织_护法诸天_0,合作,[{'82': '护法诸天暗中保护唐僧西天取经'}],人物与组织,西游记
西游记_人物_狐阿七大王_0,西游记_物品_方天戟_0,持有,[{'35': '狐阿七大王手执方天戟与孙大圣交战。'}],人物与物品,西游记
西游记_人物_鼍洁_0,西游记_地点_黑水河_0,居住,[{'43': '鼍洁从西洋海来，强占黑水河神府居住。'}],人物与地点,西游记
西游记_地点_坛场_0,西游记_地点_车迟国_0,隶属,[{'45': '求雨坛场位于车迟国中'}],地点与地点,西游记
西游记_人物_灵感大王_0,西游记_物品_石匣_0,持有,"[{'48': '灵感大王用六尺长的石匣将唐僧盖在水府宫后。'}, {'49': '灵感大王将唐僧盖在宫后石匣中，石匣形似猪槽长六尺。'}]",人物与物品,西游记
西游记_人物_朱紫国王_0,西游记_人物_孙悟空_0,亲密,[{'69': '孙大圣为国王诊脉制药，用乌金丹治愈其忧疑之疾，国王感激拜谢，孙大圣主动提出为其降妖救回金圣宫'}],人物与人物,西游记
西游记_人物_孙悟空_0,西游记_组织_唐朝_0,归属,[{'89': '孙行者是东土大唐前往西天取经的僧人。'}],人物与组织,西游记
西游记_人物_先锋_0,西游记_组织_麒麟山獬豸洞_0,归属,[{'70': '先锋是赛太岁部下，属于麒麟山獬豸洞势力'}],人物与组织,西游记
西游记_人物_哪吒三太子_0,西游记_物品_绣球_1,持有,[{'51': '哪吒太子持绣球与兕怪交战，后被圈子套去。'}],人物与物品,西游记
西游记_人物_伯钦父亲_0,西游记_人物_刘伯钦_0,亲属,[{'13': '刘伯钦之父已故，伯钦请三藏超度其父'}],人物与人物,西游记
西游记_人物_猪八戒_0,西游记_物品_九齿钉钯_0,持有,"[{'8': '猪悟能手执九齿钉耙'}, {'18': '猪刚鬣有九齿钉钯作为兵器，自称不怕法师'}, {'19': '猪八戒使用九齿钉钯，即上宝沁金钯。'}, {'20': '猪悟能使用九齿钉钯'}, {'21': '猪八戒用九齿钉钯打杀虎先锋及洞中小妖。'}, {'22': '八戒执钯推水，双手舞钯。'}, {'25': '猪八戒使用钉钯战斗，并试图筑破镇元仙袖子。'}, {'28': '猪八戒使用九齿钉钯开路并与黄袍怪交战'}, {'29': '猪八戒使用九齿钉钯作为兵器，与黄袍怪战斗'}, {'30': '猪八戒使用九齿钉钯作为武器。'}, {'32': '猪八戒使用钉钯作为武器，与银角大王战斗。'}, {'35': '猪八戒用九齿钉钯筑死狐阿七大王。'}, {'38': '猪八戒用铁钯将御花园门筑得粉碎，又将芭蕉树筑倒'}, {'39': '猪八戒使用九齿钉钯筑打狮猁王。'}, {'40': '八戒使用九齿钉钯作为兵器。'}, {'41': '八戒使用九齿钯助攻红孩儿。'}, {'48': '八戒腰横钉钯，并用其筑打灵感大王。'}, {'49': '猪八戒使用九齿钉钯与灵感大王交战，称钯能筑倒太山。'}, {'55': '猪八戒使用钉钯筑门和战斗。'}, {'56': '猪八戒使用钉钯，本回中用钉钯筑坑埋尸。'}, {'61': '猪八戒使用九齿钉钯作战'}, {'63': '猪八戒使用九齿钉钯作战，并曾丢失后被孙悟空偷回。'}, {'64': '猪八戒使用钉钯分开荆棘开路，并将树精筑倒。'}, {'65': '猪八戒使用九齿钉钯与黄眉老佛交战。'}, {'67': '八戒使用九齿钯与妖怪战斗。'}, {'72': '八戒举着钉钯欲筑妖精，后又筑房子放火。'}, {'74': '猪八戒使用九齿钉钯作为兵器。'}, {'76': '猪八戒使用钉钯作为兵器。'}, {'78': '八戒使用钉钯筑土和泥。'}, {'82': '八戒使用钉钯作为武器，拦住洞门'}, {'85': '猪八戒使用九齿钉钯与老妖战斗'}, {'86': '猪八戒使用钉钯筑石门、筑坟冢、筑杀妖怪'}, {'88': '猪八戒持有九齿钉钯，重五千零四十八斤。'}, {'89': '猪八戒进入虎口洞后夺回九齿渗金钉钯，重新持有。'}, {'90': '八戒使用九齿钯作为兵器，重八百斤'}, {'92': '猪八戒的武器，用于战斗。'}]",人物与物品,西游记
西游记_地点_南赡部洲_0,西游记_地点_盱眙山_0,隶属,[{'66': '盱眙山位于南赡部洲泗洲'}],地点与地点,西游记
西游记_人物_七仙姑_0,西游记_地点_濯垢泉_0,居住,[{'72': '濯垢泉原是上方七仙姑的浴池，后让给妖精。'}],人物与地点,西游记
西游记_人物_山神_5,西游记_地点_金皘山_0,守护,[{'50': '山神自称金皘山山神，与土地一同守护此山。'}],人物与地点,西游记
西游记_人物_地藏王菩萨_0,西游记_人物_寇洪_0,上下级,[{'97': '地藏王收留寇洪为掌善缘簿案长，并应孙悟空请求延其阳寿一纪'}],人物与人物,西游记
西游记_人物_牛魔王_0,西游记_人物_老龙精_0,亲密,[{'60': '牛魔王与老龙精是朋友，赴碧波潭酒宴。'}],人物与人物,西游记
西游记_人物_国丈_0,西游记_物品_麻经葛纬云头履_0,持有,[{'78': '国丈脚上穿着麻经葛纬云头履。'}],人物与物品,西游记
西游记_人物_东海龙王敖广_0,西游记_人物_玉皇大帝_0,上下级,[{'3': '东海龙王敖广进表，玉帝览毕传旨，龙神归海。'}],人物与人物,西游记
西游记_人物_泼法金刚_0,西游记_地点_五台山秘魔岩_0,居住,[{'61': '泼法金刚修行于五台山秘魔岩'}],人物与地点,西游记
