id,name,type,description,alias,book
西游记_人物_九头驸马_0,九头驸马,人物,"[{'62': '万圣公主的驸马，神通广大，与万圣龙王一同下血雨、偷舍利子佛宝。'}, {'63': '又称九头虫，万圣龙王的女婿，使月牙铲，本象为九头鸟，十分凶恶，曾用口咬走猪八戒，后与二郎神交战被细犬咬下一头，负伤逃往北海。'}]",[],西游记
西游记_人物_九尾狐狸_0,九尾狐狸,人物,[{'34': '又称老奶奶、老妈妈儿，压龙山压龙洞的老怪，是老魔和二魔的母亲，拥有幌金绳。孙行者变作倚海龙将其骗出，一棍打死，原形是九尾狐狸。'}],[],西游记
西游记_人物_九曜真君_0,九曜真君,人物,[{'7': '天庭神祇，赴安天大会。'}],[],西游记
西游记_人物_九灵元圣_0,九灵元圣,人物,"[{'89': '竹节山九曲盘桓洞的老妖，黄狮精的祖翁。法力高强，知晓孙行者的来历。应黄狮精请求前往报仇。'}, {'90': '九头狮子，又称老妖、元圣儿，太乙救苦天尊的坐骑，神通广大，喊一声上通三圣下彻九泉。本回中噙走唐僧和玉华州父子，后被天尊收服。'}]",[],西游记
西游记_人物_二从者_0,二从者,人物,[{'13': '跟随三藏西行的两个仆人，在双叉岭被寅将军、熊山君、特处士等妖怪剖腹剜心吃掉。'}],[],西游记
西游记_人物_二大王_0,二大王,人物,[{'74': '狮驼洞三个魔头之二，身高三丈，卧蚕眉，丹凤眼，美人声，匾担牙，鼻似蛟龙。与人争斗时用鼻子卷人，能令铁背铜身影魂亡魄丧。'}],[],西游记
西游记_人物_二王子_0,二王子,人物,"[{'88': '玉华王的次子，使用九齿钯。欲拜师，后得猪八戒传授神力，能抡起九齿钉钯。'}, {'90': '玉华王的二王子，拜师学习武艺，被九灵元圣噙走。'}]",[],西游记
西游记_人物_二郎显圣真君_0,二郎显圣真君,人物,"[{'6': '又称显圣二郎真君、二郎、真君、小圣，玉帝外甥，居灌洲灌江口，力诛六怪，有梅山六兄弟及一千二百草头神，奉调擒拿齐天大圣，与之赌斗变化，最终在金刚琢和细犬帮助下擒住猴王。'}, {'7': '即二郎显圣、二郎显圣真君。曾与义兄弟追杀悟空，得观世音举荐。后受赏赐回灌江口。'}, {'8': '即二郎神，曾捉获孙悟空（提及）。'}, {'17': '二郎神，能与孙悟空变化斗法，硬赌跌平交。'}, {'19': '二郎神，曾擒拿孙悟空，押在斗牛宫前。'}, {'21': '二郎神，其灌州城被黄风吹得迷失。'}, {'28': '即二郎神，曾率领梅山七弟兄放火烧了花果山，导致山毁妖亡，被群猴称为“二郎菩萨”。'}, {'52': '指二郎神，曾与孙悟空相持。'}, {'60': '即二郎神，曾擒拿孙悟空，将其压赴老君处。'}, {'63': '又称真君、二郎爷爷，二郎神，与梅山六兄弟打猎归来，应孙悟空之邀助战，用金弓银弹打九头虫，其细犬咬下九头虫一头。'}, {'71': '二郎神，孙悟空自述中提及观音推荐他前来与孙悟空对战，并有梅山兄弟相助。'}]","二郎,二郎显圣,二郎真君,小圣二郎,显圣,显圣二郎神,显圣真君,灌江小圣",西游记
西游记_人物_云程万里鹏_0,云程万里鹏,人物,[{'74': '狮驼洞三大王，不是凡间怪物，行动时抟风运海，振北图南。随身有一件宝贝阴阳二气瓶。原住处狮驼国，五百年前吃了全城人，后与大大王、二大王结为兄弟，合意捉拿唐僧。'}],[],西游记
西游记_人物_云里雾_0,云里雾,人物,"[{'41': '红孩儿手下的六健将之一。'}, {'42': '火云洞六健将之一，小妖，肉眼凡胎，跪拜假牛魔王。'}]",[],西游记
西游记_人物_五城兵马官_0,五城兵马官,人物,[{'78': '奏报冷风刮去鹅笼小儿的官员。'}],[],西游记
西游记_人物_五帝_0,五帝,人物,[{'1': '定伦世界的帝王，与三皇共同治理世间。'}],[],西游记
西游记_人物_五斗星君_0,五斗星君,人物,"[{'4': '天庭星君，奉玉帝旨意送孙悟空到齐天大圣府上任，并赐御酒金花。'}, {'7': '天庭星君，赴安天大会。'}]",[],西游记
西游记_人物_五方揭谛_0,五方揭谛,人物,"[{'5': '天庭护法神，玉帝调他们下界，在花果山前扎营。'}, {'7': '如来召来监押悟空的五位揭谛神。'}, {'15': '观音菩萨差来的护法神祇之一，包括金头揭谛等五位揭谛，其中金头揭谛昼夜不离唐僧。'}, {'21': '奉菩萨法旨暗中保护唐僧的神灵，与护法伽蓝等一同点化仙庄。'}, {'29': '护法神祇，与六丁六甲等共同保着唐僧。'}, {'33': '神祇团体，包括金头揭谛等，与山神土地一同移山放出孙悟空，后被悟空喝退腾空而去。'}, {'37': '佛教护法神，随行保护唐僧。'}, {'65': '佛教护法神，保护唐僧，曾协助掀金铙，后与妖王战斗。'}, {'66': '护法神团体，奉菩萨旨意暗中保护唐僧，包括金头揭谛等。'}, {'78': '护法神将，被行者拘来，奉命救助小儿。'}, {'82': '佛教护法神，受观世音菩萨差遣保护唐僧。'}, {'90': '五方揭谛神，跪接孙大圣并护佑唐僧。'}, {'99': '佛教护法神团体，本回中向观音菩萨缴法旨。'}]",五方揭谛,西游记
西游记_人物_五气真君_0,五气真君,人物,[{'7': '天庭仙真，赴安天大会。'}],[],西游记
西游记_人物_五阎王_0,五阎王,人物,[{'76': '行者假扮勾司人时提及，说五阎王差来勾八戒。'}],[],西游记
西游记_人物_井木犴_0,井木犴,人物,"[{'65': '二十八宿之一，参与战斗。'}, {'92': '二十八宿之一，四木禽星之一，奉玉帝旨意下界降伏犀牛精，现原身咬死辟寒大王。'}]",[],西游记
西游记_人物_井龙王_0,井龙王,人物,[{'38': '御花园井底水晶宫的龙王，受上敕旨保管乌鸡国王尸首，用定颜珠定住使其不坏。猪八戒下井时，他指引八戒驮出尸首，并承诺齐天大圣会有起死回生之意。'}],[],西游记
西游记_人物_亢金龙_0,亢金龙,人物,"[{'65': '二十八宿之一，用角尖钻入金铙缝中，让孙悟空钻出，后参与战斗。'}, {'66': '二十八宿之一，曾将角透入金铙内救出孙悟空。'}]",[],西游记
西游记_人物_仙童_0,仙童,人物,[{'1': '须菩提祖师洞府中的童子，丰姿英伟，奉师命出门迎接孙悟空，带其入内。文本中亦称童子。'}],[],西游记
西游记_人物_仙童_1,仙童,人物,[{'52': '兜率宫看守童子，因误食七返火丹酣睡，致使青牛逃走。'}],[],西游记
西游记_人物_仙童_2,仙童,人物,[{'73': '黄花观道士的两个小童，负责看茶、递茶等事务，被女怪利用传递毒茶。'}],[],西游记
西游记_人物_仵官王_0,仵官王,人物,[{'10': '十代阎王之一，参与审理太宗对案。'}],[],西游记
西游记_人物_伏狸_0,伏狸,人物,[{'89': '九灵元圣的诸孙之一，随同九灵元圣前往玉华州报仇。'}],[],西游记
西游记_人物_伏狸狮_0,伏狸狮,人物,[{'90': '狮子精之一，使用钺斧，被孙大圣拿住。'}],[],西游记
西游记_人物_伏虎罗汉_0,伏虎罗汉,人物,"[{'52': '十八罗汉之一，与降龙罗汉一同告知孙悟空寻太上老君。'}, {'98': '如来座下罗汉之一，与降龙罗汉一同敲响云磬。'}]",[],西游记
西游记_人物_传言玉女_0,传言玉女,人物,[{'3': '天庭玉女，负责传递表文。'}],[],西游记
西游记_人物_伯钦父亲_0,伯钦父亲,人物,[{'13': '刘伯钦已故的父亲，在阴司苦难难脱，因三藏念经超度得脱沉沦，托梦给家人说阎王差人送他上中华富地托生。'}],[],西游记
西游记_人物_伶俐虫_0,伶俐虫,人物,"[{'33': '莲花洞的小妖，奉命拿羊脂玉净瓶去装孙悟空。与精细鬼一起被孙悟空骗换宝贝。'}, {'34': '莲花洞的小妖，与精细鬼一同执宝贝，提议用净瓶贴换假葫芦，后被孙行者骗走宝贝，回山后被二魔喝起。'}]",[],西游记
西游记_人物_伽叶_0,伽叶,人物,"[{'7': '如来佛祖的尊者，随侍佛祖，与阿傩同收供品。'}, {'8': '如来弟子，与阿傩一起布散花果。'}, {'77': '如来尊者，奉旨去峨眉山宣普贤菩萨。'}, {'98': '如来的尊者之一。与阿傩一同传经，索要人事，先传无字经，后因燃灯古佛指点，最终换有字真经。'}, {'100': '如来座下尊者，与阿傩一同传经，需索人事。'}]",迦叶,西游记
西游记_人物_住持上房长老_0,住持上房长老,人物,[{'13': '法门寺的本寺住持，带领五百余僧众迎接三藏。'}],[],西游记
西游记_人物_佑圣真君_0,佑圣真君,人物,[{'7': '天庭神将，派遣佐使王灵官及调雷将围困大圣。'}],[],西游记
西游记_人物_佛母孔雀大明王菩萨_0,佛母孔雀大明王菩萨,人物,"[{'71': '西方佛母，所生二子（雌雄孔雀）被朱紫国太子射伤，故吩咐拆凤三年，让朱紫国王身耽啾疾。'}, {'77': '佛母，大鹏之兄（或姐）。如来曾封其为佛母孔雀大明王菩萨。'}]",孔雀大明王菩萨,西游记
西游记_人物_修桃力士_0,修桃力士,人物,[{'5': '蟠桃园中的力士之一，负责修桃。土地唤其来见大圣，并随侍园中。'}],[],西游记
西游记_人物_倚海龙_0,倚海龙,人物,[{'34': '莲花洞的常随小妖，与巴山虎同去请老奶奶，被孙行者打死，孙行者变作其模样骗得幌金绳。'}],[],西游记
西游记_人物_傅奕_0,傅奕,人物,[{'11': '太史丞，上疏反对佛教，认为佛法不足为信，被太宗掷付群臣议。'}],[],西游记
西游记_人物_傲来国君王_0,傲来国君王,人物,[{'3': '傲来国的君主，被孙悟空施法惊散，闭门不出。'}],[],西游记
西游记_人物_僧官_0,僧官,人物,[{'36': '宝林寺的管理僧人，又称老院主。本回中他起初嫌弃唐僧，不愿留宿，后来被孙行者威吓，吓得躲入床下，命众僧排班迎接唐僧，并安排茶饭和禅堂安歇。'}],[],西游记
西游记_人物_元始天尊_0,元始天尊,人物,"[{'24': '道教尊神，发简帖邀请镇元子到上清天弥罗宫听讲混元道果。'}, {'44': '道教三清之一，居于三清殿中间。文本中猪八戒变作元始天尊的模样，并将原圣像推倒。'}, {'66': '曾符召荡魔天尊收降东北方黑气妖氛，弥勒佛因赴元始会而留黄眉童儿看宫。'}]",[],西游记
西游记_人物_元虚_0,元虚,人物,[{'7': '天庭灵通，赴安天大会。'}],[],西游记
西游记_人物_先锋_0,先锋,人物,[{'70': '麒麟山獬豸洞赛太岁的部下先锋，奉大王令到朱紫国取宫女，被孙悟空一棒打折长枪，败走西方。文中称赛太岁部下先锋。'}],[],西游记
西游记_人物_先锋小妖_0,先锋小妖,人物,[{'85': '老妖手下的小妖，曾从狮驼岭逃来，献分瓣梅花计擒获唐僧，被封为前部先锋。'}],[],西游记
西游记_人物_全真_0,全真,人物,"[{'37': '来自锺南山的道士，能呼风唤雨、点石成金，与乌鸡国国王结拜后将其害死，自己变作国王模样篡位。又称妖怪、那怪、道士。'}, {'38': '假扮乌鸡国王的妖精，原为一道士（全真），将真国王害死后变作其模样侵占了龙位，做了三年皇帝。太子和娘娘称其为妖精、怪物。'}]",[],西游记
西游记_人物_公主_0,公主,人物,"[{'93': '妖邪所变，冒充天竺国公主，借抛绣球招唐僧为偶，欲采取元阳真气以成太乙上仙。'}, {'94': '天竺国公主，初八日抛绣球选中唐僧为驸马，后因畏惧唐僧徒弟丑陋，请求父王打发他们出城。'}]",假公主,西游记
西游记_人物_六丁六甲_0,六丁六甲,人物,"[{'7': '天庭神将，将悟空解付老君，后与架火看炉者扯悟空。'}, {'15': '观音菩萨差来的护法神祇之一，包括六位丁神和六位甲神，轮流值日保护取经人。'}, {'21': '奉菩萨法旨暗中保护唐僧的神灵，与护法伽蓝等一同点化仙庄。'}, {'29': '护法神祇，暗中有保护唐僧，在八戒沙僧斗怪时助阵。'}, {'30': '护法神将之一，在半空中护佑唐僧不被兵器所伤。'}, {'37': '道教护法神将，随行保护唐僧，被孙悟空暗中吩咐护持师父。'}, {'44': '护法神将，夜间保护车迟国的和尚，不让他们寻死。文本中众僧说“六丁六甲、护教伽蓝，但至夜就来保护”。'}, {'65': '天庭神将，六丁神和六甲神，保护唐僧、看守金铙，后参与战斗。'}, {'78': '护法神将，被行者拘来，奉命救助小儿。'}, {'90': '六甲六丁神将，协助押解土地并护佑唐僧。'}, {'92': '六丁六甲等护法神，暗中护佑唐僧。'}, {'99': '道教护法神，本回中保护唐僧。'}]","丁甲,六丁六甲,六甲六丁神将",西游记
西游记_人物_六耳猕猴_0,六耳猕猴,人物,"[{'57': '假扮孙悟空的猴精，又称假猴王。本章中打晕唐僧，抢走包袱，并在花果山自组取经队伍，变出假唐僧、假八戒、假沙僧。'}, {'58': '假行者，与孙悟空相貌声音完全相同，善聆音，能察理，知前后，冒充孙悟空打倒唐僧抢走包袱，后被如来识破，被孙悟空打死。'}]",假行者,西游记
西游记_人物_关元帅_0,关元帅,人物,[{'51': '四大元帅之一，在南天门迎接孙悟空并邀茶。'}],[],西游记
西游记_人物_关圣爷爷_0,关圣爷爷,人物,[{'47': '即关羽，被陈清家供奉的神祇。陈清在其位下求得儿子，故名陈关保。'}],[],西游记
西游记_人物_兴烘掀_0,兴烘掀,人物,"[{'41': '红孩儿手下的六健将之一。'}, {'42': '火云洞六健将之一，小妖，出洞请老大王。'}]",[],西游记
西游记_人物_典簿_0,典簿,人物,[{'4': '御马监中的官员，负责征备草料，管理文簿。'}],[],西游记
西游记_人物_典膳官_0,典膳官,人物,[{'88': '玉华王府中负责膳食的官员，备素斋招待唐僧师徒，并引导他们至暴纱亭。'}],[],西游记
西游记_人物_冥君_0,冥君,人物,"[{'29': '阴间君主，因唐太宗阳寿未绝而放其回生。'}, {'57': '地府之主。本章中在唐僧的文牒中被提及，称“感冥君放送回生”。'}]",[],西游记
西游记_人物_净乐国王_0,净乐国王,人物,[{'66': '荡魔天尊的父亲，净乐国国王。'}],[],西游记
西游记_人物_凌空子_0,凌空子,人物,[{'64': '荆棘岭上的桧树精，十八公之友，参与联句作诗。'}],[],西游记
西游记_人物_凌虚子_0,凌虚子,人物,[{'17': '苍狼精，又称道人，与黑熊精为友，手托玻璃盘盛仙丹。孙悟空将其打死，后观音菩萨变作其模样去降伏黑熊精。'}],[],西游记
西游记_人物_刁钻古怪_0,刁钻古怪,人物,"[{'89': '豹头山的狼头怪妖之一，奉命买猪羊。被孙行者用定身法定住，其身份被猪八戒变化冒充。'}, {'90': '小妖，打红旗之一，后逃脱。'}]",[],西游记
西游记_人物_刘_0,刘,人物,[{'4': '增长天王手下天将之一，在南天门外把守。'}],[],西游记
西游记_人物_刘伯钦_0,刘伯钦,人物,"[{'13': '绰号镇山太保，双叉岭的猎户，头戴艾叶花斑豹皮帽，身穿羊绒织锦叵罗衣，腰束狮蛮带，脚穿麂皮靴，手执钢叉，腰悬弓箭。打杀猛虎救下三藏，请至家中款待，并送三藏至两界山。'}, {'14': '又称太保，两界山附近的猎户，绰号镇山太保，护送唐僧上山揭压帖，与孙悟空有交集。'}, {'27': '本回中被唐僧提及送其出长安的人物。'}]",[],西游记
西游记_人物_刘全_0,刘全,人物,[{'11': '均州人，家有万贯。因妻李翠莲自缢而死，舍命揭皇榜进瓜果到阴司，得阎王允许夫妻还魂，后借尸还魂得与李玉英身体结合。'}],[],西游记
西游记_人物_刘天将_0,刘天将,人物,[{'51': '四大天将之一，在北天门进礼邀茶。'}],[],西游记
西游记_人物_刘小二_0,刘小二,人物,[{'101': '万花店店主，张氏曾在他店中居住，后告知玄奘婆婆的下落。'}],[],西游记
西游记_人物_刘洪_0,刘洪,人物,[{'101': '洪江渡口的稍水（船夫），贪图殷温娇美色，打死陈光蕊并强占其妻，冒名赴江州上任。后被殷丞相擒获，在江边活剜心肝祭奠陈光蕊。'}],[],西游记
西游记_人物_刘洪基_0,刘洪基,人物,[{'11': '唐朝将领，在朝班中。'}],[],西游记
西游记_人物_刘洪纪_0,刘洪纪,人物,[{'9': '唐太宗朝中的武官，位列朝班，朝贺时出现。'}],[],西游记
西游记_人物_初江王_0,初江王,人物,[{'3': '十代冥王之一，阴间天子，一同迎接孙悟空。'}],[],西游记
西游记_人物_判官_0,判官,人物,"[{'3': '幽冥界掌案判官，奉命捧出生死簿子供孙悟空查看，并捧笔饱墨。'}, {'21': '地府判官，被十代阎王寻找。'}]",[],西游记
西游记_人物_刽子手_0,刽子手,人物,[{'46': '执行砍头和剖腹的刑官，将孙行者和虎力大仙捆翻在地砍头，又将孙行者肚皮割开，后因孙行者长出人头而心惊胆战。'}],[],西游记
西游记_人物_力士_0,力士,人物,[{'4': '御马监中的力士，负责刷洗马匹、扎草、饮水、煮料。'}],[],西游记
西游记_人物_功德华佛_0,功德华佛,人物,[{'100': '在结尾佛号中被提及的佛名。'}],[],西游记
西游记_人物_勾死人_0,勾死人,人物,[{'3': '幽冥界勾魂鬼差，持批文勾取孙悟空魂魄，被孙悟空打死。'}],[],西游记
西游记_人物_北海龙王敖顺_0,北海龙王敖顺,人物,"[{'46': '名敖顺，被孙行者唵字咒语唤来，说明羊力大仙的冷龙是旁门左道，主动收走冷龙，使羊力大仙死在油锅中。'}, {'77': '又称北海小龙。被孙悟空拘唤，变作冷风吹入锅下，护持唐僧师徒不被蒸坏。'}]",北海龙王,西游记
西游记_人物_十八公_0,十八公,人物,[{'64': '荆棘岭上的松树精，号劲节，假扮土地摄走唐僧，与唐僧联句作诗，并做媒欲让杏仙与唐僧成亲。'}],[],西游记
西游记_人物_千里眼_0,千里眼,人物,"[{'1': '天庭将领，奉玉帝旨意开南天门观看金光之处，回禀所见石猴情况。'}, {'3': '天庭神将，能视千里，向玉帝说明孙悟空乃三百年前天产石猴。'}]",[],西游记
西游记_人物_华光菩萨_0,华光菩萨,人物,[{'96': '火焰五光佛的徒弟，因剿除毒火鬼王降职，化做五显灵官。文本中提到华光行院供奉他。'}],[],西游记
西游记_人物_南山大王_0,南山大王,人物,"[{'85': '山中的妖精首领，能喷风嗳雾，手使铁杵，欲吃唐僧肉，被猪八戒打败后用分瓣梅花计摄走唐僧。'}, {'86': '又称老怪、艾叶花皮豹子精，隐雾山折岳连环洞的妖怪头目，自称南山大王，使用铁杵为兵器，设计分瓣梅花计捉拿唐僧，最终被猪八戒筑死。'}]",老妖,西游记
西游记_人物_南斗星_0,南斗星,人物,[{'7': '奉命令火部众神烧悟空。'}],[],西游记
西游记_人物_南无宝幢光王佛_0,南无宝幢光王佛,人物,[{'98': '即接引佛祖。在凌云渡撑无底船接引唐僧师徒过河，船到彼岸后消失。行者认出但未说破。'}],[],西游记
西游记_人物_南极星君_0,南极星君,人物,[{'101': '奉观音菩萨法旨，将玄奘送给殷温娇，并托梦告知未来团圆复仇之事。'}],[],西游记
西游记_人物_卞城王_0,卞城王,人物,"[{'3': '十代冥王之一，阴间天子，一同迎接孙悟空。'}, {'10': '十代阎王之一，参与审理太宗对案。'}]",[],西游记
西游记_人物_危月燕_0,危月燕,人物,[{'65': '二十八宿之一，参与战斗。'}],[],西游记
西游记_人物_卵二姐_0,卵二姐,人物,[{'8': '住在福陵山云栈洞，见猪悟能有武艺，让他做家长，不到一年就死了。'}],[],西游记
西游记_人物_参水猿_0,参水猿,人物,[{'65': '二十八宿之一，参与战斗。'}],[],西游记
西游记_人物_古怪刁钻_0,古怪刁钻,人物,"[{'89': '豹头山的狼头怪妖之一，与刁钻古怪同行。被孙行者定身，其身份被孙行者变化冒充。'}, {'90': '小妖，打红旗之一，后逃脱。'}]",[],西游记
西游记_人物_可韩丈人真君_0,可韩丈人真君,人物,[{'51': '可韩司的主神，奉玉帝旨意查勘满天星宿神王有无思凡下界，查后回奏并无。'}],[],西游记
西游记_人物_右弼_0,右弼,人物,[{'7': '天庭神祇，赴安天大会。'}],[],西游记
西游记_人物_吴刚_0,吴刚,人物,[{'22': '神话人物，月中伐桂之人。沙悟净介绍其宝杖来历时提到“月里梭罗派，吴刚伐下一枝来”。'}],[],西游记
西游记_人物_吴道子_0,吴道子,人物,[{'12': '图神写圣的画师，奉太宗旨意描画观世音菩萨真像。'}],[],西游记
